DESCRIPCIÓN DE LA SERIE;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.;Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Entre 1 y 5 años. Conjunto EC UEM;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Rendimiento interno Deuda Pública 2 a 6 años. Mercado secundario;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Interbancario. Mibor a 1 año;Tipo de interés. Tipos legales. Interés legal;Tipo de interés. Tipos legales. interés Ley enjuiciamiento civil;Tipo de interés. Tipos legales. Interés de demora a efectos tributarios;Tipo de interés. Tipos legales. Interés de demora en operaciones comerciales;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A un año;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A dos años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A tres años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A cuatro años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A siete años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A diez años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A quince años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A veinte años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A treinta años;Tipo de interés. De referencia. Mercado hipotecario. Interbancario.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Tipo medio préstamos hipotecarios.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Deuda Pública de 2 a 6 años.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Fecha BOE IRS;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Importe agregado de préstamos;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Número de operaciones;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Entidades contribuidoras;
DESCRIPCIÓN DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Fecha;Fecha;Fecha;Fecha;Porcentaje;Miles de Euros;Operaciones;Entidades;
FRECUENCIA;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;
JUL 2017;-;-;-;-;-0,1540;1,9290;1,9100;0,2870;0,1830;-0,1540;3,0000;5,0000;3,7500;8,0000;-0,3050;-0,1380;-0,0060;0,1390;0,2870;0,5670;0,9360;1,3290;1,5030;1,5960;2017-Ago-02;2017-Ago-19;2017-Ago-02;2017-Ago-18;1,9290;-;-;-;
AGO 2017;-;-;-;-;-0,1560;1,9530;1,9100;0,2080;0,1420;-0,1560;3,0000;5,0000;3,7500;8,0000;-0,3160;-0,1700;-0,0590;0,0700;0,2080;0,4790;0,8450;1,2420;1,4170;1,5120;2017-Sep-02;2017-Sep-20;2017-Sep-02;2017-Sep-13;1,9530;-;-;-;
SEP 2017;-;-;-;-;-0,1680;1,8730;2,0000;0,1980;0,1040;-0,1680;3,0000;5,0000;3,7500;8,0000;-0,3180;-0,1820;-0,0700;0,0600;0,1980;0,4720;0,8460;1,2540;1,4380;1,5400;2017-Oct-03;2017-Oct-19;2017-Oct-03;2017-Oct-28;1,8730;-;-;-;
OCT 2017;-;-;-;-;-0,1800;1,9040;1,9300;0,2330;0,0740;-0,1800;3,0000;5,0000;3,7500;8,0000;-0,3170;-0,1790;-0,0540;0,0870;0,2330;0,5130;0,8870;1,2930;1,4780;1,5850;2017-Nov-03;2017-Nov-18;2017-Nov-03;2017-Nov-07;1,9040;-;-;-;
NOV 2017;-;-;-;-;-0,1890;1,9100;1,9200;0,2030;0,0650;-0,1890;3,0000;5,0000;3,7500;8,0000;-0,3220;-0,1940;-0,0730;0,0630;0,2030;0,4710;0,8340;1,2350;1,4220;1,5330;2017-Dic-02;2017-Dic-20;2017-Dic-02;2017-Dic-15;1,9100;-;-;-;
DIC 2017;-;-;-;-;-0,1900;1,9020;1,9300;0,2370;0,0730;-0,1900;3,0000;5,0000;3,7500;8,0000;-0,3190;-0,1780;-0,0430;0,0990;0,2370;0,4900;0,8250;1,1970;1,3690;1,4600;2018-Ene-03;2018-Ene-18;2018-Ene-03;2018-Ene-09;1,9020;-;-;-;
ENE 2018;-;-;-;-;-0,1890;1,9380;1,8600;0,3690;0,0700;-0,1890;3,0000;5,0000;3,7500;8,0000;-0,3120;-0,1370;0,0380;0,2110;0,3690;0,6320;0,9540;1,3040;1,4630;1,5360;2018-Feb-02;2018-Feb-20;2018-Feb-02;2018-Feb-09;1,9380;-;-;-;
FEB 2018;-;-;-;-;-0,1910;1,9000;1,8700;0,4800;0,0930;-0,1910;3,0000;5,0000;3,7500;8,0000;-0,3090;-0,1240;0,0820;0,2910;0,4800;0,7880;1,1220;1,4530;1,5900;1,6320;2018-Mar-02;2018-Mar-20;2018-Mar-02;2018-Mar-12;1,9000;-;-;-;
MAR 2018;-;-;-;-;-0,1910;1,8950;1,8800;0,4250;0,1080;-0,1910;3,0000;5,0000;3,7500;8,0000;-0,3140;-0,1400;0,0530;0,2500;0,4250;0,7150;1,0380;1,3670;1,5070;1,5480;2018-Abr-03;2018-Abr-19;2018-Abr-03;2018-Abr-12;1,8950;-;-;-;
ABR 2018;-;-;-;-;-0,1900;1,9050;1,8400;0,3880;0,1070;-0,1900;3,0000;5,0000;3,7500;8,0000;-0,3160;-0,1420;0,0380;0,2230;0,3880;0,6660;0,9850;1,3160;1,4590;1,5040;2018-May-04;2018-May-19;2018-May-04;2018-May-10;1,9050;-;-;-;
MAY 2018;-;-;-;-;-0,1880;1,8920;1,8500;0,3810;0,1190;-0,1880;3,0000;5,0000;3,7500;8,0000;-0,3030;-0,1380;0,0320;0,2140;0,3810;0,6680;0,9980;1,3390;1,4920;1,5490;2018-Jun-02;2018-Jun-20;2018-Jun-02;2018-Jun-02;1,8920;-;-;-;
JUN 2018;-;-;-;-;-0,1810;1,8620;1,8700;0,3180;0,1360;-0,1810;3,0000;5,0000;3,7500;8,0000;-0,2960;-0,1510;-0,0010;0,1620;0,3180;0,5990;0,9390;1,2930;1,4540;1,5200;2018-Jul-03;2018-Jul-19;2018-Jul-03;2018-Jul-07;1,8620;-;-;-;
JUL 2018;-;-;-;-;-0,1800;1,8540;1,8200;0,2790;0,1360;-0,1800;3,0000;5,0000;3,7500;8,0000;-0,3050;-0,1660;-0,0220;0,1310;0,2790;0,5500;0,8860;1,2420;1,4070;1,4780;2018-Ago-02;2018-Ago-21;2018-Ago-02;2018-Ago-04;1,8540;-;-;-;
AGO 2018;-;-;-;-;-0,1690;1,9320;1,8500;0,2910;0,1200;-0,1690;3,0000;5,0000;3,7500;8,0000;-0,2910;-0,1480;-0,0060;0,1450;0,2910;0,5610;0,8970;1,2520;1,4160;1,4870;2018-Sep-04;2018-Sep-20;2018-Sep-04;2018-Sep-13;1,9320;-;-;-;
SEP 2018;-;-;-;-;-0,1660;1,8910;1,8200;0,3370;0,1340;-0,1660;3,0000;5,0000;3,7500;8,0000;-0,2930;-0,1350;0,0210;0,1840;0,3370;0,6100;0,9450;1,2990;1,4630;1,5300;2018-Oct-02;2018-Oct-18;2018-Oct-02;2018-Oct-11;1,8910;-;-;-;
OCT 2018;-;-;-;-;-0,1540;1,9320;1,8200;0,3970;0,1890;-0,1540;3,0000;5,0000;3,7500;8,0000;-0,2860;-0,1070;0,0650;0,2380;0,3970;0,6770;1,0080;1,3520;1,5060;1,5600;2018-Nov-03;2018-Nov-21;2018-Nov-03;2018-Nov-12;1,9320;-;-;-;
NOV 2018;-;-;-;-;-0,1470;2,0090;1,8000;0,3330;0,2180;-0,1470;3,0000;5,0000;3,7500;8,0000;-0,2950;-0,1290;0,0230;0,1820;0,3330;0,6070;0,9400;1,2900;1,4470;1,5020;2018-Dic-04;2018-Dic-20;2018-Dic-04;2018-Dic-12;2,0090;-;-;-;
DIC 2018;-;-;-;-;-0,1290;2,0370;1,8500;0,2540;0,2170;-0,1290;3,0000;5,0000;3,7500;8,0000;-0,2910;-0,1500;-0,0270;0,1130;0,2540;0,5190;0,8520;1,2050;1,3580;1,4100;2019-Ene-03;2019-Ene-18;2019-Ene-03;2019-Ene-04;2,0370;-;-;-;
ENE 2019;-;-;-;-;-0,1160;2,0220;1,8100;0,1830;0,2210;-0,1160;3,0000;5,0000;3,7500;8,0000;-0,2890;-0,1590;-0,0610;0,0570;0,1830;0,4370;0,7730;1,1350;1,2960;1,3550;2019-Feb-02;2019-Feb-20;2019-Feb-02;2019-Feb-08;2,0220;2244493,0000;17985,0000;27,0000;
FEB 2019;-;-;-;-;-0,1080;2,0560;1,8100;0,1330;0,2230;-0,1080;3,0000;5,0000;3,7500;8,0000;-0,2910;-0,1560;-0,0700;0,0280;0,1330;0,3520;0,6630;1,0190;1,1830;1,2470;2019-Mar-02;2019-Mar-20;2019-Mar-02;2019-Mar-12;2,0560;2412393,0000;19313,0000;27,0000;
MAR 2019;-;-;-;-;-0,1090;2,0390;1,8400;0,0900;0,1960;-0,1090;3,0000;5,0000;3,7500;8,0000;-0,3000;-0,1700;-0,0920;-0,0040;0,0900;0,2870;0,5770;0,9240;1,0930;1,1730;2019-Abr-02;2019-Abr-18;2019-Abr-02;2019-Abr-06;2,0390;2813897,0000;22742,0000;29,0000;
ABR 2019;-;-;-;-;-0,1120;2,0170;1,8000;0,0390;0,1360;-0,1120;3,0000;5,0000;3,7500;8,0000;-0,3160;-0,1990;-0,1340;-0,0510;0,0390;0,2330;0,5210;0,8690;1,0390;1,1190;2019-May-07;2019-May-21;2019-May-07;2019-May-10;2,0170;2765255,0000;22040,0000;26,0000;
MAY 2019;-;-;-;-;-0,1340;2,0520;1,7700;-0,0230;0,0660;-0,1340;3,0000;5,0000;3,7500;8,0000;-0,3330;-0,2320;-0,1790;-0,1060;-0,0230;0,1600;0,4370;0,7800;0,9510;1,0300;2019-Jun-04;2019-Jun-20;2019-Jun-04;2019-Jun-21;2,0520;3095475,0000;24746,0000;29,0000;
JUN 2019;-;-;-;-;-0,1900;2,0410;1,7900;-0,1710;0,0080;-0,1900;3,0000;5,0000;3,7500;8,0000;-0,3990;-0,3320;-0,3010;-0,2420;-0,1710;-0,0090;0,2470;0,5650;0,7280;0,8020;2019-Jul-02;2019-Jul-18;2019-Jul-02;2019-Jul-03;2,0410;2475720,0000;19027,0000;28,0000;
JUL 2019;-;-;-;-;-0,2830;1,8360;1,7300;-0,2740;-0,0700;-0,2830;3,0000;5,0000;3,7500;8,0000;-0,4740;-0,4200;-0,3940;-0,3420;-0,2740;-0,1230;0,1210;0,4270;0,5910;0,6680;2019-Ago-02;2019-Ago-21;2019-Ago-02;2019-Ago-06;1,8360;2695156,0000;19833,0000;25,0000;
AGO 2019;-;-;-;-;-0,3560;1,9130;1,7100;-0,4600;-0,1430;-0,3560;3,0000;5,0000;3,7500;8,0000;-0,5360;-0,5150;-0,5150;-0,4940;-0,4600;-0,3630;-0,1870;0,0510;0,1770;0,2300;2019-Sep-03;2019-Sep-19;2019-Sep-03;2019-Sep-11;1,9130;1867361,0000;15075,0000;26,0000;
SEP 2019;-;-;-;-;-0,3390;1,8250;1,6800;-0,4320;-0,2010;-0,3390;3,0000;5,0000;3,7500;8,0000;-0,5070;-0,4780;-0,4790;-0,4630;-0,4320;-0,3370;-0,1570;0,0860;0,2060;0,2500;2019-Oct-02;2019-Oct-18;2019-Oct-02;2019-Oct-09;1,8250;2403047,0000;18758,0000;28,0000;
OCT 2019;-;-;-;-;-0,3040;1,8060;1,6400;-0,3220;-0,2520;-0,3040;3,0000;5,0000;3,7500;8,0000;-0,4640;-0,4080;-0,3930;-0,3620;-0,3220;-0,2190;-0,0370;0,2080;0,3310;0,3690;2019-Nov-05;2019-Nov-20;2019-Nov-05;2019-Nov-08;1,8060;2782203,0000;21766,0000;29,0000;
NOV 2019;-;-;-;-;-0,2720;1,8030;1,5900;-0,2200;-0,2720;-0,2720;3,0000;5,0000;3,7500;8,0000;-0,4170;-0,3420;-0,3140;-0,2700;-0,2200;-0,1040;0,0830;0,3380;0,4660;0,5030;2019-Dic-03;2019-Dic-19;2019-Dic-03;2019-Dic-10;1,8030;2814838,0000;22146,0000;27,0000;
DIC 2019;-;-;-;-;-0,2610;1,8070;1,5900;-0,1810;-0,2640;-0,2610;3,0000;5,0000;3,7500;8,0000;-0,4060;-0,3220;-0,2840;-0,2340;-0,1810;-0,0650;0,1200;0,3710;0,5000;0,5330;2020-Ene-03;2020-Ene-18;2020-Ene-03;2020-Ene-10;1,8070;3445407,0000;25795,0000;29,0000;
ENE 2020;-;-;-;-;-0,2530;1,8250;1,5800;-0,1860;-0,2350;-0,2530;3,0000;5,0000;3,7500;8,0000;-0,4010;-0,3160;-0,2800;-0,2360;-0,1860;-0,0770;0,1030;0,3550;0,4890;0,5280;2020-Feb-04;2020-Feb-20;2020-Feb-04;2020-Feb-12;1,8250;2418697,0000;18268,0000;26,0000;
FEB 2020;-;-;-;-;-0,2880;1,8160;1,5200;-0,3030;-0,2190;-0,2880;3,0000;5,0000;3,7500;8,0000;-0,4440;-0,3800;-0,3630;-0,3360;-0,3030;-0,2210;-0,0690;0,1600;0,2840;0,3140;2020-Mar-03;2020-Mar-19;2020-Mar-03;2020-Mar-04;1,8160;2597817,0000;20090,0000;28,0000;
MAR 2020;-;-;-;-;-0,2660;1,7650;1,5400;-0,2820;-0,1660;-0,2660;3,0000;5,0000;3,7500;8,0000;-0,4720;-0,3890;-0,4260;-0,4420;-0,2820;-0,1730;-0,0760;0,1250;0,1920;0,1410;2020-Abr-02;2020-Abr-18;2020-Abr-02;2020-Abr-11;1,7650;2172130,0000;16696,0000;26,0000;
ABR 2020;-;-;-;-;-0,1080;1,7540;1,5500;-0,2240;-0,0750;-0,1080;3,0000;5,0000;3,7500;8,0000;-0,3230;-0,2710;-0,2690;-0,2500;-0,2240;-0,1560;-0,0410;0,1170;0,1650;0,0770;2020-May-05;2020-May-21;2020-May-05;2020-May-13;1,7540;1395372,0000;10271,0000;22,0000;
MAY 2020;-;-;-;-;-0,0810;1,7450;1,5400;-0,2920;-0,0490;-0,0810;3,0000;5,0000;3,7500;8,0000;-0,3660;-0,2990;-0,3160;-0,3110;-0,2920;-0,2370;-0,1320;0,0180;0,0650;-0,0170;2020-Jun-02;2020-Jun-18;2020-Jun-02;2020-Jun-11;1,7450;1960382,0000;14094,0000;26,0000;
JUN 2020;-;-;-;-;-0,1470;1,7440;1,5800;-0,3000;-0,0540;-0,1470;3,0000;5,0000;3,7500;8,0000;-0,4220;-0,3350;-0,3390;-0,3250;-0,3000;-0,2320;-0,1140;0,0570;0,1260;0,0850;2020-Jul-02;2020-Jul-18;2020-Jul-02;2020-Jul-03;1,7440;2389135,0000;17087,0000;27,0000;
JUL 2020;-;-;-;-;-0,2790;1,7450;1,6400;-0,3630;-0,0700;-0,2790;3,0000;5,0000;3,7500;8,0000;-0,4610;-0,3940;-0,3960;-0,3840;-0,3630;-0,3050;-0,1930;-0,0260;0,0390;-0,0060;2020-Ago-04;2020-Ago-20;2020-Ago-04;2020-Ago-21;1,7450;2950700,0000;21045,0000;26,0000;
AGO 2020;-;-;-;-;-0,3590;1,7430;1,5800;-0,3800;-0,0770;-0,3590;3,0000;5,0000;3,7500;8,0000;-0,4810;-0,4300;-0,4220;-0,4040;-0,3800;-0,3170;-0,1990;-0,0220;0,0480;0,0060;2020-Sep-02;2020-Sep-18;2020-Sep-02;2020-Sep-04;1,7430;2195732,0000;16548,0000;26,0000;
SEP 2020;-;-;-;-;-0,4150;1,7000;1,6100;-0,4180;-0,1330;-0,4150;3,0000;5,0000;3,7500;8,0000;-0,5120;-0,4770;-0,4680;-0,4470;-0,4180;-0,3450;-0,2130;-0,0270;0,0490;0,0200;2020-Oct-02;2020-Oct-20;2020-Oct-02;2020-Oct-06;1,7000;2894517,0000;21687,0000;27,0000;
OCT 2020;-;-;-;-;-0,4660;1,6630;1,6100;-0,4590;-0,2320;-0,4660;3,0000;5,0000;3,7500;8,0000;-0,5350;-0,5150;-0,5080;-0,4880;-0,4590;-0,3860;-0,2550;-0,0700;0,0050;-0,0260;2020-Nov-04;2020-Nov-19;2020-Nov-04;2020-Nov-05;1,6630;2919074,0000;22385,0000;27,0000;
NOV 2020;-;-;-;-;-0,4810;1,6610;1,5800;-0,4600;-0,3020;-0,4810;3,0000;5,0000;3,7500;8,0000;-0,5420;-0,5250;-0,5150;-0,4920;-0,4600;-0,3810;-0,2410;-0,0460;0,0350;0,0120;2020-Dic-02;2020-Dic-18;2020-Dic-02;2020-Dic-04;1,6610;3251927,0000;24387,0000;27,0000;
DIC 2020;-;-;-;-;-0,4970;1,5630;1,5400;-0,4690;-0,3560;-0,4970;3,0000;5,0000;3,7500;8,0000;-0,5550;-0,5300;-0,5180;-0,4980;-0,4690;-0,3960;-0,2650;-0,0800;0,0000;-0,0240;2021-Ene-05;2021-Ene-20;2021-Ene-05;2021-Ene-09;1,5630;4065848,0000;28767,0000;28,0000;
ENE 2021;-0,5680;-0,5620;-0,5470;-0,5290;-0,5050;1,5580;1,5200;-0,4490;-0,3820;-0,5050;3,0000;5,0000;3,7500;8,0000;-0,5580;-0,5290;-0,5110;-0,4830;-0,4490;-0,3660;-0,2250;-0,0300;0,0590;0,0450;2021-Feb-02;2021-Feb-18;2021-Feb-02;2021-Feb-10;1,5580;2453847,0000;17439,0000;27,0000;
FEB 2021;-0,5660;-0,5530;-0,5410;-0,5210;-0,5010;1,5650;1,5000;-0,3760;-0,3970;-0,5010;3,0000;5,0000;3,7500;8,0000;-0,5490;-0,5100;-0,4790;-0,4320;-0,3760;-0,2560;-0,0730;0,1600;0,2690;0,2830;2021-Mar-02;2021-Mar-18;2021-Mar-02;2021-Mar-09;1,5650;3068633,0000;22469,0000;28,0000;
MAR 2021;-0,5650;-0,5530;-0,5390;-0,5160;-0,4870;1,5710;1,4900;-0,3320;-0,3990;-0,4870;3,0000;5,0000;3,7500;8,0000;-0,5440;-0,4940;-0,4550;-0,3990;-0,3320;-0,1860;0,0260;0,2860;0,4040;0,4220;2021-Abr-06;2021-Abr-20;2021-Abr-06;2021-Abr-15;1,5710;4115262,0000;29765,0000;28,0000;
ABR 2021;-0,5640;-0,5550;-0,5380;-0,5160;-0,4840;1,4800;1,4400;-0,3060;-0,3830;-0,4840;3,0000;5,0000;3,7500;8,0000;-0,5460;-0,4940;-0,4460;-0,3800;-0,3060;-0,1490;0,0740;0,3420;0,4630;0,4790;2021-May-05;2021-May-20;2021-May-05;2021-May-06;1,4800;3390356,0000;24296,0000;26,0000;
MAY 2021;-0,5650;-0,5580;-0,5400;-0,5130;-0,4810;1,5070;1,4800;-0,2450;-0,3500;-0,4810;3,0000;5,0000;3,7500;8,0000;-0,5370;-0,4700;-0,4050;-0,3270;-0,2450;-0,0790;0,1470;0,4120;0,5300;0,5420;2021-Jun-02;2021-Jun-18;2021-Jun-03;2021-Jun-05;1,5070;3912234,0000;28107,0000;27,0000;
JUN 2021;-0,5670;-0,5550;-0,5430;-0,5150;-0,4840;1,5270;1,4300;-0,2650;-0,3320;-0,4840;3,0000;5,0000;3,7500;8,0000;-0,5350;-0,4670;-0,4080;-0,3390;-0,2650;-0,1110;0,1040;0,3650;0,4790;0,4840;2021-Jul-02;2021-Jul-20;2021-Jul-03;2021-Jul-12;1,5270;4288789,0000;30059,0000;29,0000;
JUL 2021;-0,5660;-0,5560;-0,5450;-0,5160;-0,4910;1,4850;1,4300;-0,3170;-0,3260;-0,4910;3,0000;5,0000;3,7500;8,0000;-0,5370;-0,4720;-0,4250;-0,3730;-0,3170;-0,1910;0,0010;0,2510;0,3590;0,3500;2021-Ago-03;2021-Ago-19;2021-Ago-04;2021-Ago-04;1,4850;4323769,0000;29474,0000;27,0000;
AGO 2021;-0,5710;-0,5600;-0,5480;-0,5270;-0,4980;1,5290;1,4500;-0,3700;-0,3380;-0,4980;3,0000;5,0000;3,7500;8,0000;-0,5450;-0,4960;-0,4580;-0,4160;-0,3700;-0,2660;-0,0920;0,1410;0,2410;0,2200;2021-Sep-02;2021-Sep-18;2021-Sep-03;2021-Sep-06;1,5290;2283639,0000;17255,0000;24,0000;
SEP 2021;-0,5700;-0,5580;-0,5450;-0,5220;-0,4920;1,4890;1,4700;-0,2660;-0,3510;-0,4920;3,0000;5,0000;3,7500;8,0000;-0,5310;-0,4540;-0,3950;-0,3310;-0,2660;-0,1360;0,0580;0,2990;0,4030;0,3910;2021-Oct-02;2021-Oct-20;2021-Oct-05;2021-Oct-08;1,4890;3147911,0000;22096,0000;26,0000;
OCT 2021;-0,5700;-0,5600;-0,5500;-0,5270;-0,4770;1,4670;1,4600;-0,1000;-0,3410;-0,4770;3,0000;5,0000;3,7500;8,0000;-0,5130;-0,3760;-0,2700;-0,1810;-0,1000;0,0450;0,2350;0,4480;0,5300;0,4910;2021-Nov-03;2021-Nov-18;2021-Nov-03;2021-Nov-05;1,4670;3133073,0000;22561,0000;26,0000;
NOV 2021;-0,5730;-0,5650;-0,5670;-0,5340;-0,4870;1,4120;1,4700;-0,0890;-0,3440;-0,4870;3,0000;5,0000;3,7500;8,0000;-0,5100;-0,3390;-0,2210;-0,1460;-0,0890;0,0170;0,1790;0,3440;0,3870;0,3150;2021-Dic-02;2021-Dic-18;2021-Dic-03;2021-Dic-10;1,4120;3640457,0000;25997,0000;24,0000;
DIC 2021;-0,5800;-0,5960;-0,5820;-0,5450;-0,5020;1,4480;1,4800;-0,0920;-0,3430;-0,5020;3,0000;5,0000;3,7500;8,0000;-0,5160;-0,3410;-0,2150;-0,1450;-0,0920;0,0020;0,1550;0,3240;0,3670;0,2900;2022-Ene-04;2022-Ene-20;2022-Ene-05;2022-Ene-11;1,4480;4142899,0000;28591,0000;25,0000;
ENE 2022;-0,5760;-0,5650;-0,5600;-0,5270;-0,4770;1,4850;1,4600;0,0980;-0,2980;-0,4770;3,0000;5,0000;3,7500;8,0000;-0,4820;-0,2430;-0,0770;0,0280;0,0980;0,2150;0,3770;0,5430;0,5810;0,5000;2022-Feb-02;2022-Feb-18;2022-Feb-03;2022-Feb-09;1,4850;3207081,0000;22215,0000;26,0000;
FEB 2022;-0,5710;-0,5530;-0,5320;-0,4760;-0,3350;1,4810;1,4600;0,5370;-0,1610;-0,3350;3,0000;5,0000;3,7500;8,0000;-0,3340;0,1200;0,3500;0,4690;0,5370;0,6270;0,7470;0,8570;0,8480;0,7220;2022-Mar-02;2022-Mar-18;2022-Mar-03;2022-Mar-10;1,4810;3318782,0000;23205,0000;24,0000;
MAR 2022;-0,5690;-0,5440;-0,4950;-0,4180;-0,2370;1,5130;1,4900;0,7100;-0,0240;-0,2370;3,0000;5,0000;3,7500;8,0000;-0,2400;0,2680;0,4930;0,6210;0,7100;0,8300;0,9930;1,1300;1,0840;0,8670;2022-Abr-02;2022-Abr-21;2022-Abr-05;2022-Abr-08;1,5130;4569900,0000;31624,0000;25,0000;
ABR 2022;-0,5690;-0,5370;-0,4480;-0,3110;0,0130;1,5400;1,5300;1,2390;0,1290;0,0130;3,0000;5,0000;3,7500;8,0000;0,0240;0,7400;1,0270;1,1610;1,2390;1,3450;1,4870;1,5990;1,5290;1,2860;2022-May-04;2022-May-20;2022-May-04;2022-May-11;1,5400;4044234,0000;27956,0000;25,0000;
MAY 2022;-0,5680;-0,5460;-0,3860;-0,1440;0,2870;1,6240;1,7200;1,4290;0,3950;0,2870;3,0000;5,0000;3,7500;8,0000;0,3130;0,9480;1,1880;1,3290;1,4290;1,5750;1,7610;1,8990;1,8190;1,5470;2022-Jun-02;2022-Jun-18;2022-Jun-03;2022-Jun-10;1,6240;4198991,0000;29211,0000;23,0000;
JUN 2022;-0,5700;-0,5250;-0,2390;0,1620;0,8520;1,7990;1,8600;1,9760;0,6760;0,8520;3,0000;5,0000;3,7500;8,0000;0,8500;1,5440;1,7630;1,8850;1,9760;2,0940;2,2540;2,3790;2,2870;2,0450;2022-Jul-02;2022-Jul-20;2022-Jul-05;2022-Jul-05;1,7990;4621740,0000;31424,0000;23,0000;
JUL 2022;-0,4570;-0,3060;0,0370;0,4660;0,9920;1,9860;2,0300;1,6330;0,9160;0,9920;3,0000;5,0000;3,7500;8,0000;0,9050;1,2870;1,4120;1,5250;1,6330;1,7920;1,9950;2,1820;2,1170;1,8630;2022-Ago-02;2022-Ago-19;2022-Ago-03;2022-Ago-09;1,9860;4876682,0000;32280,0000;23,0000;
AGO 2022;-0,0710;0,0220;0,3950;0,8370;1,2490;2,1980;2,2600;1,7210;1,0910;1,2490;3,0000;5,0000;3,7500;8,0000;1,2060;1,5420;1,6110;1,6660;1,7210;1,8130;1,9470;2,0690;1,9770;1,7380;2022-Sep-02;2022-Sep-20;2022-Sep-03;2022-Sep-08;2,1980;3071626,0000;22074,0000;22,0000;
SEP 2022;0,4240;0,5740;1,0110;1,5960;2,2330;2,4100;2,4400;2,5980;1,4590;2,2330;3,0000;5,0000;3,7500;8,0000;2,1870;2,5430;2,5690;2,5790;2,5980;2,6200;2,6820;2,7020;2,5320;2,1690;2022-Oct-04;2022-Oct-20;2022-Oct-05;2022-Oct-11;2,4100;3517989,0000;23904,0000;23,0000;
OCT 2022;0,6960;0,9150;1,4280;1,9970;2,6290;2,6660;2,5900;3,0200;1,7420;2,6290;3,0000;5,0000;3,7500;8,0000;2,5390;2,9020;2,9550;2,9860;3,0200;3,0650;3,1370;3,1500;2,9420;2,5060;2022-Nov-03;2022-Nov-18;2022-Nov-03;2022-Nov-10;2,6660;3415711,0000;24174,0000;21,0000;
NOV 2022;1,3750;1,4230;1,8250;2,3210;2,8280;2,8770;2,8100;2,8090;1,9880;2,8280;3,0000;5,0000;3,7500;8,0000;2,7170;2,9110;2,8610;2,8230;2,8090;2,8020;2,8440;2,8650;2,6960;2,3160;2022-Dic-02;2022-Dic-20;2022-Dic-03;2022-Dic-03;2,8770;3808594,0000;26652,0000;23,0000;
